"filename", "language", "JSON", "C#", "comment", "blank", "total"
"d:\MakeGames\GameProject\ori\mod_source\audio_settings.json", "JSON", 280, 0, 0, 0, 280
"d:\MakeGames\GameProject\ori\mod_source\biomes\center.json", "JSON", 60, 0, 0, 0, 60
"d:\MakeGames\GameProject\ori\mod_source\biomes\desert.json", "JSON", 58, 0, 0, 0, 58
"d:\MakeGames\GameProject\ori\mod_source\biomes\grassland.json", "JSON", 49, 0, 0, 0, 49
"d:\MakeGames\GameProject\ori\mod_source\biomes\grassland_fighting.json", "JSON", 28, 0, 0, 0, 28
"d:\MakeGames\GameProject\ori\mod_source\biomes\oak_forest.json", "JSON", 93, 0, 0, 0, 93
"d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\cactuses.json", "JSON", 86, 0, 0, 0, 86
"d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\dirt_surface.json", "JSON", 23, 0, 0, 0, 23
"d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\ores.json", "JSON", 90, 0, 0, 0, 90
"d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\plants_frigid_zone.json", "JSON", 21, 0, 0, 0, 21
"d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\plants_temperate_zone.json", "JSON", 242, 0, 0, 0, 242
"d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\plants_tropic.json", "JSON", 164, 0, 0, 0, 164
"d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\pools.json", "JSON", 44, 0, 0, 0, 44
"d:\MakeGames\GameProject\ori\mod_source\biomes\prefabs\blocks\universal_surface.json", "JSON", 18, 0, 0, 0, 18
"d:\MakeGames\GameProject\ori\mod_source\biomes\rain_forest.json", "JSON", 110, 0, 0, 0, 110
"d:\MakeGames\GameProject\ori\mod_source\biomes\savannah_grassland.json", "JSON", 69, 0, 0, 0, 69
"d:\MakeGames\GameProject\ori\mod_source\biomes\snowfield.json", "JSON", 42, 0, 0, 0, 42
"d:\MakeGames\GameProject\ori\mod_source\biomes\swamp.json", "JSON", 63, 0, 0, 0, 63
"d:\MakeGames\GameProject\ori\mod_source\blocks\bamboo.json", "JSON", 21, 0, 0, 0, 21
"d:\MakeGames\GameProject\ori\mod_source\blocks\barrel.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\blocks\berry_bush.json", "JSON", 18, 0, 0, 0, 18
"d:\MakeGames\GameProject\ori\mod_source\blocks\boundary.json", "JSON", 12, 0, 0, 0, 12
"d:\MakeGames\GameProject\ori\mod_source\blocks\bush.json", "JSON", 17, 0, 0, 0, 17
"d:\MakeGames\GameProject\ori\mod_source\blocks\cactus.json", "JSON", 18, 0, 0, 0, 18
"d:\MakeGames\GameProject\ori\mod_source\blocks\campfire.json", "JSON", 23, 0, 0, 0, 23
"d:\MakeGames\GameProject\ori\mod_source\blocks\chests\wooden.json", "JSON", 17, 0, 0, 0, 17
