Date : 2024-05-19 11:14:13
Directory : d:\MakeGames\GameProject\ori
Total : 370 files,  15829 codes, 205 comments, 1005 blanks, all 17039 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |        277 |     12,115 |          0 |          0 |     12,115 |
| C#       |         93 |      3,714 |        205 |      1,005 |      4,924 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |        370 |     15,829 |        205 |      1,005 |     17,039 |
| mod_source                                                                                     |        277 |     12,115 |          0 |          0 |     12,115 |
| mod_source (Files)                                                                             |          3 |      1,885 |          0 |          0 |      1,885 |
| mod_source\biomes                                                                              |         17 |      1,260 |          0 |          0 |      1,260 |
| mod_source\biomes (Files)                                                                      |          9 |        572 |          0 |          0 |        572 |
| mod_source\biomes\prefabs                                                                      |          8 |        688 |          0 |          0 |        688 |
| mod_source\biomes\prefabs\blocks                                                               |          8 |        688 |          0 |          0 |        688 |
| mod_source\blocks                                                                              |         92 |      1,758 |          0 |          0 |      1,758 |
| mod_source\blocks (Files)                                                                      |         32 |        519 |          0 |          0 |        519 |
| mod_source\blocks\chests                                                                       |          1 |         17 |          0 |          0 |         17 |
| mod_source\blocks\crops                                                                        |          6 |        267 |          0 |          0 |        267 |
| mod_source\blocks\flowers                                                                      |          9 |        146 |          0 |          0 |        146 |
| mod_source\blocks\furnaces                                                                     |          3 |         42 |          0 |          0 |         42 |
| mod_source\blocks\logs                                                                         |         36 |        694 |          0 |          0 |        694 |
| mod_source\blocks\logs\acacia                                                                  |          5 |         97 |          0 |          0 |         97 |
| mod_source\blocks\logs\banyan                                                                  |          5 |         92 |          0 |          0 |         92 |
| mod_source\blocks\logs\mangrove                                                                |          5 |         98 |          0 |          0 |         98 |
| mod_source\blocks\logs\maple                                                                   |          5 |         92 |          0 |          0 |         92 |
| mod_source\blocks\logs\oak                                                                     |          6 |        131 |          0 |          0 |        131 |
| mod_source\blocks\logs\sea_hibiscus                                                            |          5 |         92 |          0 |          0 |         92 |
| mod_source\blocks\logs\tangerine                                                               |          5 |         92 |          0 |          0 |         92 |
| mod_source\blocks\ores                                                                         |          5 |         73 |          0 |          0 |         73 |
| mod_source\entities                                                                            |         37 |        828 |          0 |          0 |        828 |
| mod_source\entities (Files)                                                                    |          9 |        180 |          0 |          0 |        180 |
| mod_source\entities\bullets                                                                    |          5 |         78 |          0 |          0 |         78 |
| mod_source\entities\bullets (Files)                                                            |          4 |         61 |          0 |          0 |         61 |
| mod_source\entities\bullets\arrows                                                             |          1 |         17 |          0 |          0 |         17 |
| mod_source\entities\idle_creatures                                                             |         14 |        313 |          0 |          0 |        313 |
| mod_source\entities\idle_creatures\livestock                                                   |          3 |         71 |          0 |          0 |         71 |
| mod_source\entities\idle_creatures\livestock (Files)                                           |          1 |         27 |          0 |          0 |         27 |
